Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
24-Jul-0017,Ellie,PLDAPS/Ellie,Ellie_2017-07-24_15-59-49_shank2D3,ellie_20170724,PLDAPS,NaN,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,16,Atlas,importFreeViewingPLDAPS,Eyelink1000,9,1,1,0.825205047136441,-1.6961772569371,0.998964157635935,0.268558961759016,0.434228195513768,None
25-Jul-0017,Ellie,PLDAPS/Ellie,Ellie_2017-07-25_13-29-24_Shank2D4,ellie_20170725,PLDAPS,NaN,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,17,Atlas,importFreeViewingPLDAPS,Eyelink1000,6,1,1,1.35213679773036,-1.320414584299,0.611346893195219,0.100680583667852,0.295780613922602,None
26-Jul-0017,Ellie,PLDAPS/Ellie,Ellie_2017-07-26_13-51-39_Shank2D5,ellie_20170726,PLDAPS,382,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,4,Atlas,importFreeViewingPLDAPS,Eyelink1000,3,1,1,1.4715701862406,-1.58638002956078,0.455526207284529,-0.0411268214099954,0.271776944353844,None
28-Jul-0017,Ellie,PLDAPS/Ellie,Ellie_2017-07-28_15-21-04_Shank2D7,ellie_20170728,PLDAPS,380,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,12,Atlas,importFreeViewingPLDAPS,Eyelink1000,4,1,1,1.92186684059518,-1.75033367519464,0.723622145723153,0.0489836961850754,0.235659565599464,None
31-Jul-0017,Ellie,PLDAPS/Ellie,Ellie_2017-07-31_15-21-11_Shnkd8,ellie_20170731,PLDAPS,384,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,42,Atlas,importFreeViewingPLDAPS,Eyelink1000,9,1,1,1.49306135485449,-1.13889231353649,0.470203243286067,0.189340577357684,0.33602660799847,None
01-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-01_11-27-24_Shank2D9,ellie_20170801,PLDAPS,388,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,16,Atlas,importFreeViewingPLDAPS,Eyelink1000,6,1,1,1.03571304573214,-2.15526484540597,1.17205335995927,0.519850335111649,0.883741726667329,None
02-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-02_14-17-43_ShankD10,ellie_20170802,PLDAPS,388,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,20,Atlas,importFreeViewingPLDAPS,Eyelink1000,7,1,1,1.35213679773036,-1.5579097377517,0.954199802319973,0.189340577357684,0.492459549758129,None
03-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-03_15-14-58_Shank2D11,ellie_20170803,PLDAPS,NaN,"V1",Propixx,Shank2,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,17,Atlas,importFreeViewingPLDAPS,Eyelink1000,6,1,1,0.414490397654897,-1.5579097377517,1.21545335239138,0.163910246758818,0.509627872306986,None
07-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-07_15-48-21_Shank2D13MT4,ellie_20170807,PLDAPS,394,"V1,MT",Propixx,MTSingleV132,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,17,Atlas,importFreeViewingPLDAPS,Eyelink1000,7,1,1,1.77441846537557,-1.56228633528976,0.688764935860972,0.169642753898711,0.492565583127955,None
09-Aug-0017,Ellie,PLDAPS/Ellie,Ellie_2017-08-09_13-04-23_ShankD15MT6,ellie_20170809,PLDAPS,392,"V1,MT",Propixx,MTSingleV132,1,1,"csdFlash,hartleyFF,natImgBackground",Kilo,1,32,11,Atlas,importFreeViewingPLDAPS,Eyelink1000,7,1,1,0.999763171248534,-0.705187028257258,1.3626515739217,0.288912303303919,0.835854373527234,None
